################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         69   2.4792943024219512E-07   2.8069947132515049E-03   3.5151804625959939E-05   5.3753631029288032E-05
         1         70   5.6072213735481645E-08   1.2256418662643408E-03   2.2886430277445656E-06   5.1696356089562426E-06
         1         71   3.2665813474768643E-08   2.1142605143972585E-03   1.6975161861929685E-05   2.7322788610481581E-05
         1         72   6.9406853926323497E-05   7.1850397311083742E-03   5.9642336849124165E-04   2.2642869962070735E-04
         1         73   4.4630981722767099E-04   5.1921243716849409E-03   2.2706144206999634E-03   4.7426681207607667E-04
         1         74   4.1392733475848022E-07   1.8210739713164792E-03   1.7114138494264257E-05   1.8921170829278709E-05
         1         75   2.9354239898656609E-06   1.1221045974577823E-03   5.5214731629259553E-05   2.3332571579912859E-05
         1         76   1.2674266449929948E-10   8.5306333270663128E-04   1.2720397103428350E-06   5.9107617536441904E-06
         1         77   1.4268083595509689E-11   1.6439701377188922E-04   1.2669254306514548E-07   8.5170850049327383E-07
         1         78   9.5061715982862270E-08   1.1919187472340966E-03   6.4846057032208949E-06   1.1219283652958315E-05
         1         79   1.5512528837877529E-07   4.7185801694227860E-04   5.5924572326029825E-06   3.2815809605182160E-06
         1         80   2.2691626577746423E-06   2.3834056128431732E-03   5.7623153812818541E-05   3.8580789632718187E-05
         1         81   3.1487645524667095E-13   5.1967009279345181E-05   1.5196731141806180E-08   1.9126946649602473E-07
         1         82   5.8159102519541142E-09   7.4809460133212899E-04   2.2436177811431507E-06   6.7179748006246402E-06
         1         83   2.6860340180570807E-09   1.8557093388089736E-04   1.0878917774093073E-07   4.4026453039944324E-07
         1         84   5.5379368490092219E-11   3.8070366798295533E-04   5.7266005890759410E-07   2.7514538340746743E-06
         1         85   1.8534291047160201E-06   2.0005996235237821E-03   4.4267910251267510E-05   2.9215522422626081E-05
         1         86   4.3942628494678400E-05   1.3092005002095124E-03   3.9717641890888090E-04   1.2278141082041672E-04
         1         87   2.3660250038748008E-16   1.4551710160841517E-05   1.7655556977579351E-09   5.5897896440242220E-08
         1         88   2.5705011100577690E-10   1.8597566693168334E-04   1.4356109429870661E-07   7.4789288265502866E-07
         1         89   2.4019750088548800E-08   1.1844861458224552E-04   1.9055623567949460E-06   1.3070236309017033E-06
         1         90   6.7692565053241150E-17   5.1581411957714109E-06   5.2298840948172070E-10   1.9306807799420203E-08
         1         91   5.4877961661463980E-11   1.2239629225680500E-04   5.5031982045431109E-08   4.6365617704009141E-07
         1         92   1.1861020338334269E-09   5.1232602653253832E-05   1.9537107748835608E-07   1.8824145278462144E-07
