################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.5716081283666763E-01 a       383     0    16     1    23
  4.5444044697177088E-01 a       384     0    16     1    24
  2.8266887152038817E-01 a       385     0    17     1     1
  2.4843439418720539E-01 a       386     0    17     1     2
 -8.0257887317083457E-02 a       387     0    17     1     3
  7.1248333122975335E-02 a       388     0    17     1     4
 -2.9681678177507370E-01 a       389     0    17     1     5
  2.0011814979735476E-02 a       390     0    17     1     6
 -8.5263417710857725E-01 a       391     0    17     1     7
  3.6730888592615185E-01 a       392     0    17     1     8
 -1.1011649504300743E-01 a       393     0    17     1     9
  7.1466527588272032E-03 a       394     0    17     1    10
  6.0255313529450472E-01 a       395     0    17     1    11
  2.7684532794401667E-01 a       396     0    17     1    12
 -2.6623455741811902E-01 a       397     0    17     1    13
  4.8918050912965694E-02 a       398     0    17     1    14
 -2.4094854430747045E-01 a       399     0    17     1    15
  2.4986549323348789E-01 a       400     0    17     1    16
 -3.8222885496719212E-02 a       401     0    17     1    17
  3.9490991681732512E-01 a       402     0    17     1    18
  3.9131430056637950E-01 a       403     0    17     1    19
 -1.5207146538001454E-01 a       404     0    17     1    20
  3.7540603622202462E-01 a       405     0    17     1    21
 -1.7779134125070703E-01 a       406     0    17     1    22
  2.9322107095626837E-01 a       407     0    17     1    23
 -2.8405487852395599E-02 a       408     0    17     1    24
 -3.8317940380989524E-01 a       409     0    18     1     1
  1.3134337124893342E-02 a       410     0    18     1     2
 -4.2756134152231916E-02 a       411     0    18     1     3
 -2.5188698078258304E-01 a       412     0    18     1     4
  2.8729594766259137E-02 a       413     0    18     1     5
 -1.4217271841137522E-01 a       414     0    18     1     6
  2.1333152053560167E-01 a       415     0    18     1     7
 -6.9253198143026815E-02 a       416     0    18     1     8
  3.0625331821530294E-01 a       417     0    18     1     9
  3.2005643225711672E-01 a       418     0    18     1    10
 -4.1209160302870203E-02 a       419     0    18     1    11
  3.3241361187474068E-02 a       420     0    18     1    12
  1.2937832476670574E-01 a       421     0    18     1    13
 -7.3967348162540095E-02 a       422     0    18     1    14
  9.3870971370204476E-02 a       423     0    18     1    15
 -2.4075684404225636E-01 a       424     0    18     1    16
  9.0996500921730769E-02 a       425     0    18     1    17
 -1.3269640280674658E-01 a       426     0    18     1    18
 -2.4443785057585782E-01 a       427     0    18     1    19
  1.6586050768906779E-01 a       428     0    18     1    20
  9.1095245829445795E-02 a       429     0    18     1    21
 -6.0324236254077707E-02 a       430     0    18     1    22
 -1.3163879851972990E-01 a       431     0    18     1    23
 -4.4457837132405795E-02 a       432     0    18     1    24
  2.6505545004602510E-01 a       433     0    19     1     1
 -7.3436394402719346E-02 a       434     0    19     1     2
  2.2912015764289512E-01 a       435     0    19     1     3
  3.6147274316826389E-01 a       436     0    19     1     4
 -5.5600475845628372E-01 a       437     0    19     1     5
  1.0295854229767004E-02 a       438     0    19     1     6
  1.4712244307921440E-01 a       439     0    19     1     7
  1.4114681282720351E-02 a       440     0    19     1     8
  9.7094148454299097E-03 a       441     0    19     1     9
  4.5996810470946509E-01 a       442     0    19     1    10
  3.5839345979835979E-01 a       443     0    19     1    11
 -4.1446781461586590E-01 a       444     0    19     1    12
 -1.7575259549980604E-01 a       445     0    19     1    13
  1.6999260531231998E-02 a       446     0    19     1    14
  1.4835143212671281E-01 a       447     0    19     1    15
 -3.4878706227957812E-01 a       448     0    19     1    16
 -2.1967448739441253E-01 a       449     0    19     1    17
 -5.5454126503612939E-03 a       450     0    19     1    18
 -2.5617702286504057E-01 a       451     0    19     1    19
  4.4067896441290311E-01 a       452     0    19     1    20
  4.7159740919792768E-02 a       453     0    19     1    21
 -5.2094824164261933E-01 a       454     0    19     1    22
 -2.1068366699325637E-02 a       455     0    19     1    23
  4.1383989135193605E-01 a       456     0    19     1    24
 -1.1784950608552250E-01 a       457     0    20     1     1
  2.1907859013161277E-01 a       458     0    20     1     2
 -8.3704481049506674E-02 a       459     0    20     1     3
 -9.5338687098830022E-03 a       460     0    20     1     4
 -2.6979625162093723E-01 a       461     0    20     1     5
 -4.0462585749821735E-02 a       462     0    20     1     6
 -2.3613276311514439E-01 a       463     0    20     1     7
 -6.1521589903657262E-02 a       464     0    20     1     8
 -1.6430290364888664E-01 a       465     0    20     1     9
 -9.2621829396812211E-02 a       466     0    20     1    10
  5.4373966198661652E-02 a       467     0    20     1    11
 -1.1662463908450162E-01 a       468     0    20     1    12
 -5.0263088052083993E-01 a       469     0    20     1    13
  2.3653200400653343E-02 a       470     0    20     1    14
 -1.8001923466825142E-04 a       471     0    20     1    15
 -2.8348206107373242E-01 a       472     0    20     1    16
  8.2876907553467383E-02 a       473     0    20     1    17
 -7.3389853456395635E-02 a       474     0    20     1    18
  4.2417649868229670E-02 a       475     0    20     1    19
  2.8911226969991211E-01 a       476     0    20     1    20
  1.5450309072878021E-01 a       477     0    20     1    21
 -1.0382727428948094E-01 a       478     0    20     1    22
  4.7215365148650557E-01 a       479     0    20     1    23
 -1.9449265356748779E-01 a       480     0    20     1    24
 -2.1765231826796780E-01 a       481     0    21     1     1
 -2.1007575615471655E-01 a       482     0    21     1     2
 -2.4904690505163299E-01 a       483     0    21     1     3
  2.7671396533949264E-02 a       484     0    21     1     4
  8.2763946386364209E-02 a       485     0    21     1     5
  1.6159676552845423E-01 a       486     0    21     1     6
  4.1997209034953603E-01 a       487     0    21     1     7
 -2.0977732915155906E-01 a       488     0    21     1     8
 -9.1018017412931793E-02 a       489     0    21     1     9
  7.2423868016298487E-01 a       490     0    21     1    10
 -2.3746017878031433E-01 a       491     0    21     1    11
  1.0202274172785730E-01 a       492     0    21     1    12
 -5.2605289597906280E-01 a       493     0    21     1    13
  4.6710284348715136E-01 a       494     0    21     1    14
  3.0797947912420043E-01 a       495     0    21     1    15
 -2.7477791292902447E-02 a       496     0    21     1    16
 -3.4014192953166233E-01 a       497     0    21     1    17
  5.3151194840590346E-02 a       498     0    21     1    18
 -2.3676059975715555E-01 a       499     0    21     1    19
  4.6278356506865037E-01 a       500     0    21     1    20
 -1.5200847152631546E-02 a       501     0    21     1    21
 -2.8120328641523151E-01 a       502     0    21     1    22
 -2.0826444475478437E-01 a       503     0    21     1    23
  2.7958629727610712E-01 a       504     0    21     1    24
  7.0194983177648648E-02 a       505     0    22     1     1
  3.6693888810328153E-02 a       506     0    22     1     2
  3.5571822002383770E-02 a       507     0    22     1     3
 -4.2985137913830199E-02 a       508     0    22     1     4
  1.1900926180564550E-02 a       509     0    22     1     5
 -2.8467557346396666E-01 a       510     0    22     1     6
 -5.7338652935179930E-02 a       511     0    22     1     7
