################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1        127   1.0292361484846860E-02   1.3646146804980705E-01   4.4099826245486917E-02   9.4660774207865808E-03
         2          1   6.9234748356709869E-02   8.6315596280683093E-01   4.8478223588695596E-01   4.4411653445566905E-02
         2          2   3.5756944919599348E-01   6.3865843710480341E-01   4.8861343047803552E-01   2.4464708410916223E-02
         2          3   8.8222088582296743E-02   5.2618907478863686E-01   2.9806426396873803E-01   4.2449040949516716E-02
         2          4   1.7846846329281982E-01   4.5077995876090826E-01   2.4654479192357534E-01   2.2779679834107450E-02
         2          5   1.4625370481699735E-03   2.1914206020984650E-01   1.2126415198217604E-01   1.8544581426057732E-02
         2          6   2.8553440904429565E-02   1.1506970637932737E-01   6.8542850934342925E-02   8.2345229089839152E-03
         2          7   1.9912237846662770E-04   1.4947327485056991E-01   7.5811921726905152E-02   1.6054119806223129E-02
         2          8   6.7349213725311649E-02   7.5083061947364982E-01   3.3301604228034953E-01   5.1009517773317872E-02
         2          9   2.6847167324642285E-01   5.4225696960946934E-01   3.4573619123830662E-01   2.0249567547137734E-02
         2         10   9.9333707766107687E-06   9.8794462422211071E-02   4.0092157170280182E-02   1.1931422879425755E-02
         2         11   5.0064756029216872E-03   4.2721959248545271E-02   1.9362582010253235E-02   3.5150968379152573E-03
         2         12   1.2890467623739115E-02   2.0185839497478961E-01   1.1560648348682757E-01   2.0302064946876752E-02
         2         13   3.7420107636310658E-02   1.8563176827574737E-01   7.3991915741927289E-02   1.6975232183343847E-02
         2         14   4.7842465480937024E-01   2.3641802699749865E+00   1.7337771978180596E+00   1.1088075801708763E-01
         2         15   9.5315205899215605E-01   1.9813733844586239E+00   1.5357411341209843E+00   9.3357657326774673E-02
         2         16   3.3627279042665870E-01   1.4632292615736380E+00   1.1446690426910198E+00   7.7943223766596251E-02
         2         17   3.4584939565598083E-01   1.2831726663536449E+00   9.6774374098171279E-01   8.3737659225201558E-02
         2         18   3.5707853054746524E-01   1.8240710350467790E+00   1.3860996031049111E+00   1.1495608316341574E-01
         2         19   5.0620886558188993E-01   1.6073501160876389E+00   1.0535904408816503E+00   1.2143287885034548E-01
         2         20   1.0690279725267020E-01   5.0150846194615895E-01   3.8108357977746621E-01   3.5484935770082500E-02
         2         21   1.3053481723834096E-01   5.2807534017686486E-01   3.8358160629558441E-01   3.5593165469291296E-02
         2         22   2.4551562312262953E-01   1.0630912583112566E+00   7.6775453592710807E-01   8.3731712355179830E-02
         2         23   1.3902950871706951E-01   9.8946977314064555E-01   6.7609888676566854E-01   7.3741118296953539E-02
         2         24   2.1173438312233072E-05   1.1391561521026007E-01   4.8635642551996774E-02   1.3584818146598513E-02
         2         25   7.1726593275249842E-03   5.3746138261022133E-02   2.5544621039968820E-02   4.3674115797436878E-03
         2         26   2.1349632705114058E-01   1.3971721112257045E+00   9.5889436751806811E-01   1.0397059843343402E-01
         2         27   1.7648564496894167E-01   1.1307976724196414E+00   6.7031594252937110E-01   1.2162187097496677E-01
         2         28   1.2361199058789343E+00   4.9898765230008042E+00   4.1462381547193843E+00   2.2563601261755459E-01
         2         29   1.8725601278904022E-01   1.0740469363636123E+00   8.7605227777017125E-01   5.6884076035746862E-02
         2         30   3.9175713972408982E-01   1.1358893333852138E+00   9.4218620759195360E-01   5.5656227429638355E-02
         2         31   3.3215160074263222E-01   2.0964423787551154E+00   1.6431995954935830E+00   1.1005893493116911E-01
         2         32   7.9565602016382508E-01   2.2105744918481105E+00   1.8053913266337518E+00   1.4320520317915600E-01
         2         33   5.6971692308730049E-01   2.6246727272306050E+00   2.0406550535093055E+00   1.7223898889437561E-01
         2         34   7.2835634974559194E-01   2.7981906925118185E+00   2.0721020070053382E+00   1.8284176586372636E-01
         2         35   6.2925911994694872E-01   2.8266144142252028E+00   2.0107485678278914E+00   2.0818963399164270E-01
         2         36   2.9786308573506914E-01   2.4993120048274085E+00   1.6466165867656950E+00   2.1133953279813159E-01
         2         37   1.0242360143839257E-03   7.1288572421863454E-03   3.2723351302457733E-03   5.2227261186846296E-04
         2         38   2.9319631242741958E-05   3.1423935719885970E-02   3.4946838528444311E-03   1.7858783011687035E-03
         2         39   3.2468299183988076E-03   1.7011116969543549E-02   8.0681183934065998E-03   1.1273303504699456E-03
         2         40   1.5734084405417891E-06   5.3188078854820844E-03   9.7980532052363762E-04   3.1024453078375879E-04
         2         41   5.4239554136764632E-05   1.2986900856665819E-02   7.0926127194659476E-03   1.2320399399094869E-03
